"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL10A1",1930.18035269896,-7.26858101578656,0.191494776768104,-37.957071928853,0,0
"MMP11",5098.93202853764,-6.24025820916123,0.1628745748743,-38.3132739654254,0,0
"COL11A1",2804.19670245652,-6.77420889114601,0.210780269775992,-32.1387238869432,1.26950320996922e-226,5.57015691760829e-223
"SDPR",1564.83317830473,4.20486221259185,0.153603240551298,27.3748274938743,5.4695969694884e-165,1.79990762273439e-161
"ADAMTS5",1281.05512370874,3.15442101841043,0.121111684376408,26.0455548500728,1.51075260203823e-149,3.97720730012584e-146
"LMOD1",1735.18029600002,2.89331162229618,0.111894341472413,25.8575329567447,2.00194650521929e-147,4.39193697470025e-144
"BTNL9",982.996293657264,4.24766751789554,0.16752815146878,25.3549476947887,7.9254741714086e-142,1.49032880740359e-138
"LOC728264",983.955638749376,3.72708458871708,0.147865689612542,25.2058783784345,3.45327892367284e-140,5.6819388090382e-137
"PAMR1",700.231329141596,3.57289101399936,0.14409336706937,24.7956660786425,9.98380571660022e-136,1.4601870516401e-132
"PDE2A",759.787302868834,3.281063267002,0.132405317680601,24.7804493390278,1.4567159756855e-135,1.91747523879482e-132
"GJB2",713.238962822795,-4.61849279952638,0.187027937238174,-24.6941332280476,1.23652405253897e-134,1.47966964577913e-131
"BMP8A",191.152082188482,-2.72366476112799,0.110552339815254,-24.6368802838508,5.08752135673115e-134,5.58058696822101e-131
"HSD17B6",66.7439340837839,-3.1442979767405,0.128598851916683,-24.4504358310885,4.97895943660198e-132,5.04138792799937e-129
"PPP1R12B",2471.26843538374,2.15461073590271,0.0881438390003601,24.4442579349636,5.79216390837762e-132,5.44587525185533e-129
"CAV1",8734.28948709099,3.38612227136322,0.1395313420677,24.2678255737,4.2876955567268e-130,3.76259577421299e-127
"GPAM",6258.43270614765,4.41215277533933,0.182581451343718,24.1653943643664,5.14443973495783e-129,4.23226626445312e-126
"HSPB7",1369.82509218733,5.54221302686009,0.229961956186931,24.1005648010532,2.46585623717913e-128,1.90929797941111e-125
"NEK2",286.001675700713,-4.13034891517244,0.171914638430669,-24.0255800953108,1.50293809616759e-127,1.099065231103e-124
"FHL1",12993.9005669013,5.05712236750711,0.211108712228276,23.955062366345,8.18328936527002e-127,5.66929673237102e-124
"GPIHBP1",391.15956865604,3.92616047595483,0.165323779847659,23.7483106155247,1.14379870849099e-124,7.52791119993346e-122
"NPR1",1219.9957980344,3.79503963725833,0.159995678178514,23.7196384331334,2.2615797719423e-124,1.41757973990841e-121
"GPR146",397.84831534408,3.1103515507032,0.131678720026712,23.6207608190012,2.35866052750827e-123,1.41122947834506e-120
"ITIH5",3436.26177971027,4.10409755448606,0.173951752373039,23.5933096303901,4.5144969561904e-123,2.5836662362754e-120
"TNS1",14564.0889383067,3.12464066184715,0.132889346957339,23.5131011882409,2.99596935026365e-122,1.64316435656335e-119
"TPM3",8467.88595983777,-1.23598473834099,0.0526396329403754,-23.4801169632202,6.51224351810792e-122,3.42882645715418e-119
"INHBA",250.175707606275,-3.31709057197759,0.141534258512598,-23.4366619561746,1.80819510318862e-121,9.15433543971993e-119
"IGFBP6",944.602109458838,3.50730015903928,0.149686847211486,23.4309174411562,2.06925611384458e-121,1.0088006750569e-118
"WISP1",218.575792512309,-3.66632554820766,0.156506824694614,-23.4259787415764,2.32357112964433e-121,1.09232738498244e-118
"KLHL29",290.655570443444,2.75968505996976,0.118142356525876,23.3589809880363,1.11696757447166e-120,5.06987730440361e-118
"GSN",27188.2131167955,2.70707211256691,0.116425751173565,23.2514893421753,1.37402721364895e-119,6.02877340442035e-117
"CLEC3B",1446.76764125662,4.03472221567881,0.17449766197736,23.1219270788987,2.78667882118064e-118,1.18325978461938e-115
"GPRASP1",339.350765327876,2.19291166939586,0.0953213235104102,23.0054681223176,4.10937198230509e-117,1.69036448134631e-114
"SPRY2",757.932165040579,2.48610974831028,0.108223719581752,22.9719488289465,8.89321021364886e-117,3.54731291037151e-114
"UBE2T",248.437330889429,-3.0551628204669,0.134219812286677,-22.7623833502422,1.08202169340014e-114,4.1890151618312e-112
"SCN4B",585.724893817847,2.64628587589468,0.116642144161205,22.6872190572679,5.99076878766718e-114,2.25304255863037e-111
"ARHGAP20",235.73537671705,2.99897158410215,0.132458750890819,22.6407962020879,1.71910362951971e-113,6.28571140982442e-111
"CDK1",503.383515617607,-2.90703744208526,0.12869648842819,-22.588319833663,5.64541871845204e-113,2.00839585381039e-110
"TPX2",860.366300447223,-3.25904171703762,0.144464403840653,-22.559479223909,1.08391224710212e-112,3.75461497594873e-110
