Sample Name,Cluster
TCGA-AN-A0AS-01,1
TCGA-B6-A0IH-01,1
TCGA-A1-A0SN-01,1
TCGA-AO-A0J9-01,0
TCGA-D8-A1Y1-01,1
TCGA-B6-A0RO-01,1
TCGA-A2-A04P-01,0
TCGA-BH-A0E2-01,1
TCGA-E2-A1L7-01,0
TCGA-E9-A1N4-01,1
TCGA-A8-A09N-01,1
TCGA-AO-A0JE-01,1
TCGA-AQ-A1H3-01,1
TCGA-E2-A15R-01,1
TCGA-D8-A1XD-01,1
TCGA-BH-A0BZ-01,0
TCGA-AN-A0XR-01,1
TCGA-AQ-A0Y5-01,1
TCGA-A8-A08P-01,0
TCGA-BH-A0BC-01,1
TCGA-A7-A26E-01,1
TCGA-AO-A0JD-01,1
TCGA-E2-A108-01,1
TCGA-C8-A1HL-01,1
TCGA-D8-A1XG-01,1
TCGA-AR-A0TT-01,1
TCGA-A8-A08L-01,0
TCGA-E9-A1R3-01,1
TCGA-C8-A133-01,1
TCGA-A2-A0YL-01,1
TCGA-BH-A0HP-01,1
TCGA-BH-A0BA-01,1
TCGA-AR-A1AL-01,1
TCGA-BH-A0B5-01,1
TCGA-BH-A0B4-01,0
TCGA-AQ-A04H-01,1
TCGA-A8-A07U-01,0
TCGA-AR-A24M-01,1
TCGA-D8-A27W-01,1
TCGA-B6-A0RP-01,1
TCGA-D8-A1Y3-01,0
TCGA-AN-A0XS-01,1
TCGA-BH-A1FR-01,1
TCGA-A2-A25D-01,0
TCGA-E2-A14P-01,0
TCGA-B6-A0RV-01,1
TCGA-AR-A24O-01,1
TCGA-BH-A0BS-01,1
TCGA-A1-A0SJ-01,1
TCGA-AN-A0FZ-01,1
TCGA-D8-A1XS-01,1
TCGA-BH-A1FJ-01,1
TCGA-AO-A0JG-01,1
TCGA-D8-A1XC-01,1
TCGA-C8-A131-01,0
TCGA-C8-A138-01,0
TCGA-AR-A254-01,1
TCGA-D8-A1Y0-01,1
TCGA-AN-A0XT-01,1
TCGA-AR-A0U2-01,1
TCGA-E9-A22G-01,0
TCGA-A8-A09M-01,1
TCGA-BH-A0DV-01,1
TCGA-D8-A27T-01,1
TCGA-AO-A1KQ-01,0
TCGA-A2-A0ET-01,1
TCGA-C8-A12Q-01,1
TCGA-AN-A04A-01,1
TCGA-E2-A1LL-01,0
TCGA-A8-A06Q-01,1
TCGA-D8-A1JN-01,1
