"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ARHGEF10L",721.521040934111,-0.268762813970323,0.119787214552274,-2.24366861667893,0.0248537307828361,0.0416341127619438
"RNF11",2367.60572645973,0.207810485919972,0.0924635906440617,2.2474844906244,0.0246090806722551,0.0412806587089198
"RNF13",1507.89644652932,0.200898467842253,0.0781747533768184,2.56986378804268,0.0101738509040374,0.018669789411661
"C16orf13",690.52118608196,-0.590843691401136,0.120642014251875,-4.89749524711666,9.70659813340851e-07,4.36515036658887e-06
"ATRX",2228.29894387129,0.851161209266833,0.0816515200758985,10.4243155360199,1.9203699918358e-25,4.95643729461464e-23
"ASS1",2134.63564592154,-1.24569430540925,0.263482509553031,-4.72780643968524,2.26958381970797e-06,9.55985018202113e-06
"ZNF709",119.881686134259,0.474306974209672,0.102047833423181,4.64788872334777,3.35349726392687e-06,1.36747473621652e-05
"RBM14",1150.76761686724,-0.230708121084475,0.0517052509371008,-4.46198629545635,8.12034204865218e-06,3.04871826544234e-05
"NCBP2",2293.01308628156,-0.208578666697989,0.0743588600147435,-2.80502776208017,0.005031224609914,0.00993936808349061
"DISC1",136.88298595876,-0.441163566262904,0.149529156334438,-2.95035147042624,0.00317412619583204,0.00661018026035743
"RPL37",10439.0484293177,-0.957438684319799,0.127274414432342,-7.52263279772359,5.3684043654939e-14,1.12882279014371e-12
"ZNF707",310.801430685935,-0.459115742891774,0.153164427198265,-2.99753507580104,0.0027217253630515,0.00576352492822505
"ZNF704",417.639895131896,0.885616660379043,0.172023672247467,5.14822552506046,2.62962215557927e-07,1.34593291475502e-06
"ZC3H14",1368.80278529433,0.429020765686822,0.0726206528673553,5.9076963473524,3.46924722268559e-09,2.70531405167124e-08
"SPN",217.000872467644,-0.595367081406725,0.197400078411693,-3.01604278071786,0.00256097124511161,0.00545911975698852
"DHX8",1297.51661887621,0.228753064499745,0.0852141955002608,2.68444785703627,0.00726497147744042,0.0137912921196349
"TCOF1",1176.72144180845,-0.74323374849451,0.0935094919740377,-7.94821715747171,1.89214762327221e-15,5.51025202768408e-14
"NUP98",2739.4509764561,0.295399389411804,0.0766585616879182,3.85344288892861,0.000116468439591293,0.000338128378989897
"XPC",1130.11012354016,0.375714424232693,0.0828980013084306,4.53224949097154,5.83588645619971e-06,2.25801803124506e-05
"SLC12A2",3276.76487462424,0.939392922891221,0.228270828463406,4.11525611579324,3.86749735371134e-05,0.000125265422408716
"NUP93",962.43894879733,-0.642914909668848,0.100186588714476,-6.4171753716568,1.38825970911261e-10,1.46189300408395e-09
"GOLIM4",802.473345704994,0.39653930705106,0.126527069068309,3.13402744543919,0.001724247279764,0.00381449864597202
"ZNF646",637.217940104314,0.298455459923158,0.0980810448027517,3.0429473964452,0.0023427328176645,0.00504336297548578
"RHEB",1265.14855879666,-0.609484360658982,0.0876720153690451,-6.95186894122861,3.60478224730149e-12,5.26050429281924e-11
"RAB40B",292.618216716028,-0.5371085676767,0.126370026444336,-4.25028452386442,2.13499137796492e-05,7.28998482701744e-05
"GTSE1",265.289077973141,-1.0523054290034,0.184041421274908,-5.71776408655064,1.07934850251324e-08,7.59351381003838e-08
"ARFRP1",593.385736089346,-0.456217156290454,0.129556498419775,-3.52137609348062,0.000429313250622055,0.00109009458293559
"KIAA0831",581.172243378442,0.393287651279231,0.0797626102296298,4.93072694269895,8.19241807572909e-07,3.74823771744254e-06
"SPPL2A",1026.28339739239,0.513037729431677,0.128441917212265,3.99431696884299,6.4881018952744e-05,0.000199726111430068
"SLC46A1",994.657349310557,0.962366934840887,0.145258726981174,6.62519185484542,3.46797457092712e-11,4.16885381526153e-10
"TGFBR2",2192.48489389491,0.473095026949241,0.14882263660203,3.17891846127116,0.00147825668961187,0.00331882872341141
"STK40",1109.11922185591,-0.433634444727142,0.095814616121651,-4.52576508970801,6.01773958171314e-06,2.32223705992642e-05
"ITGA1",918.701034606721,0.489397589605854,0.140297040401376,3.48829589138685,0.000486109804575886,0.00121995488229407
"ITGA2",1346.47978232545,0.98909031801004,0.197166587242315,5.01652096252222,5.26155380208756e-07,2.53042866996268e-06
"ITGA6",2424.86447390969,-0.476748802846114,0.194811253857306,-2.44723440461668,0.0143957180919855,0.025482899037763
"DENND4A",548.438464619373,0.757001703172551,0.0983275391820348,7.69877604453321,1.37375695394669e-14,3.36110832431232e-13
"DENND4B",861.433961481748,-0.299189106905318,0.0918506618625067,-3.25734296126445,0.00112460465787997,0.00259295342646244
"DENND4C",1436.06793117567,0.752523182360426,0.0932572544617337,8.0693259382755,7.0687329071633e-16,2.24206581342146e-14
"SWAP70",1702.89227925227,0.239772602047419,0.0966463988672961,2.48092639619866,0.0131041428875044,0.0234265697172647
"RARRES1",937.311199591695,-2.03458666685819,0.335174355289215,-6.07023370001739,1.27724245961739e-09,1.08187532148929e-08
"LOC100132287",216.506252791995,-0.355979700863493,0.139073790568591,-2.55964620945544,0.0104778770536134,0.0191955874261257
"PHLDA2",160.283658011026,-0.924891552961959,0.225103961342789,-4.10873068356861,3.97839688524037e-05,0.000128478013249311
"TACO1",548.345814981574,-0.335749645448936,0.135473267283491,-2.47834611345386,0.0131993035226985,0.0235806775609773
"PMM1",439.769673497975,-0.282703969469509,0.0954932647875957,-2.96045977795736,0.00307180229643165,0.00642117415085435
"NENF",1433.2932997572,-0.646779650533571,0.132068157433991,-4.89731713609192,9.71539734774244e-07,4.36761527624091e-06
"MRPL28",931.317083515706,-0.471952164643552,0.110265694324948,-4.28013597096418,1.86779164997017e-05,6.45633967661696e-05
"FBXL12",270.58329770503,-0.339584866279019,0.0747283754781611,-4.54425596844749,5.51296333580788e-06,2.14660366214159e-05
"FBXL17",670.964203753249,1.07881037924296,0.101861948921004,10.5909065227055,3.28396011943994e-26,9.82426523913362e-24
"FBXL16",735.009650874737,0.558840048722045,0.243753096999714,2.29264799340252,0.02186827891983,0.0371117982004832
"FAM169A",165.013713414214,1.40174220725342,0.230335866863717,6.08564452570815,1.16023608535776e-09,9.93636147792078e-09
"FAM116A",739.398623177302,0.424561689445708,0.0806313653770344,5.2654657087902,1.39834420066536e-07,7.60281070357626e-07
"RALGAPA2",594.388125758768,1.25883322241571,0.19247337819215,6.5402978543817,6.13964320080965e-11,7.00920411554705e-10
"GHDC",675.682115962602,0.375027215008737,0.134001684797945,2.79867537168823,0.00513126965391802,0.0101112129422938
"GRP",93.8549572016866,1.03623776962716,0.33220799725712,3.11924390196164,0.00181315803862726,0.0039957474070736
"THSD4",3356.20387367006,2.01502227979161,0.235917097593842,8.5412303743271,1.32800155936024e-17,6.37973887805066e-16
"KIAA0895L",207.877086159551,-0.500981399650845,0.135106301311074,-3.70805354590655,0.000208858498424692,0.000568369736358119
"CHST8",158.058481284995,1.06699732251422,0.403757092124723,2.64267140646192,0.00822548194507472,0.0154453664540683
"COL4A2",8244.85542907577,-0.342387955811691,0.142862079346109,-2.39663287401967,0.0165464929739614,0.0288708227752193
"CHST3",463.10828978463,-0.523345679195775,0.185869854526257,-2.81565658148102,0.00486776695621477,0.00964540364965453
"CHST2",142.350505288497,-1.49890211604522,0.177628591576232,-8.43840567976324,3.21695400486565e-17,1.36156802463172e-15
"ITGAX",392.847127358703,-0.417951563503167,0.16796023908233,-2.48839585955994,0.0128320812496448,0.023005813877564
"BCL2A1",67.1007432168822,-1.38846132547034,0.205359977780461,-6.76110964013966,1.36938841747921e-11,1.76372404493922e-10
"GPSM2",668.037018716812,-0.631506102928743,0.13256293285352,-4.76382114770008,1.89960891997308e-06,8.08947014351526e-06
"LIPG",80.1894149936981,-1.06520052467293,0.328721296874065,-3.240436609378,0.00119346804900805,0.00273734447274663
"ITGAV",4148.95216884589,0.833756712338311,0.12871643083897,6.4774691692732,9.32738234487146e-11,1.02398943957917e-09
"ZNF703",869.067605964589,0.99942989212143,0.238604309937348,4.1886497875242,2.80619064290535e-05,9.33718084746286e-05
"ITGAL",573.735697973865,-0.472308309470342,0.191089248553532,-2.47166344022766,0.0134486060759698,0.0239837422812615
"HLF",137.491855001299,0.73944427495231,0.280214632275362,2.63884961662412,0.00831878738192588,0.0156072118455374
"FAM134B",1006.54816399514,1.29944014205612,0.223454751626435,5.81522716611764,6.05515990964412e-09,4.49797234145855e-08
"TRERF1",654.650628393129,0.601646333580244,0.176814579833553,3.40269639611513,0.000667243804828027,0.00162286219566728
"LOC653501",153.741915859437,0.495181740775008,0.142063653323873,3.48563287786288,0.000490974311209433,0.00123075506731094
"SMAD6",81.0694034310206,-0.481639371029146,0.156532385394224,-3.07693113994364,0.00209143608860235,0.00454583441781254
"GOLPH3L",1678.28468349369,0.638262189917141,0.118129811585054,5.40305771551653,6.55143679356417e-08,3.79228507096241e-07
"SMAD1",898.41370123934,0.540851143709721,0.0905120698404795,5.97545879420202,2.29443531204823e-09,1.84606674892976e-08
"AFTPH",2191.04193331915,0.535244390006728,0.0774999313470255,6.90638534387903,4.97158395031537e-12,7.00652671713075e-11
"SMAD3",1328.16080161906,0.483761524399045,0.134632734756625,3.59319392325751,0.000326649298117432,0.000850244158813477
"MUS81",449.775850101693,-0.472806430773664,0.0844140634556768,-5.60103863524967,2.13071235614656e-08,1.38913158712022e-07
"IGF2R",3594.41895349862,0.235984023461973,0.108123316902277,2.18254517363038,0.0290693211010232,0.047967841751632
"CKS1B",990.906738397845,-0.868006509474034,0.13012045939821,-6.67079192225765,2.5442674110542e-11,3.15053545923862e-10
"ZC3H15",1618.61690672584,-0.141395805090546,0.0603835886231468,-2.34162639741397,0.0191999234986529,0.0330407364378046
"C14orf118",210.60748332818,0.52815625971842,0.0937260052499048,5.63510904268436,1.74947603935386e-08,1.16422412062765e-07
"RNF111",758.815269953702,0.609632021941022,0.0746936498511843,8.1617650651109,3.30163907284602e-16,1.1258931377169e-14
"TCEA3",1258.94495095696,0.46661737541915,0.163487529678048,2.85414659049561,0.00431526144052004,0.00868927433709122
"COX4I1",3649.3978528822,-0.905676106889793,0.111767740136126,-8.10319780812188,5.35330917617134e-16,1.74852627012266e-14
"ZC3H18",722.787875390671,-0.520204526816894,0.0918323456097485,-5.66472002171827,1.47264790476764e-08,1.00023035967267e-07
"SIPA1",671.978634127295,-0.754203416103355,0.115877897730117,-6.50860458186701,7.58520933653146e-11,8.51912205603785e-10
"CADPS2",1136.31290914988,0.722734063207814,0.191798065470114,3.76820309128941,0.000164426905470515,0.000459917179512726
"CCDC115",886.386878148697,-0.190275353036603,0.080340824408339,-2.36835201079731,0.0178675269159053,0.0309257405383381
"CCDC113",338.034931629844,0.692218936633455,0.162669715950337,4.25536451323728,2.08708716463261e-05,7.13752360302912e-05
"CCDC110",64.5594604719627,0.924697797023055,0.177401694762495,5.21245187798819,1.86360920202746e-07,9.86356571221854e-07
"CCDC111",198.266437169378,0.687774376929933,0.090707486597686,7.58233308768009,3.39395574227066e-14,7.59772779515454e-13
"LEO1",1043.62446569857,0.474416214500021,0.124716302894457,3.8039631025745,0.00014239939988412,0.000404314775814209
"TCP1",4491.81125089108,-0.39905063195191,0.104288878943949,-3.82639679314592,0.000130032630173778,0.000373879316508834
"SPHK1",370.232945495933,-0.922887329044441,0.176605747565018,-5.22569249171619,1.73504510050231e-07,9.24257331360256e-07
"CUEDC2",774.434868748858,-0.286937851866392,0.101229281229021,-2.8345341227626,0.00458925565691746,0.00916389141565602
"CPEB4",1189.9136550725,1.02026843728707,0.127837233499297,7.98099590674169,1.45157281024251e-15,4.32286264733533e-14
"ZNF45",316.119952000203,0.505060475592778,0.084022005071662,6.01105002388379,1.84325512642019e-09,1.51358497997935e-08
"CPEB3",177.405631501606,0.994975238280294,0.11091761642078,8.97039866512931,2.95443139913707e-19,2.18481278186708e-17
"CPEB2",984.125865226071,1.47364989406571,0.152840425565379,9.64175471649244,5.32694901052426e-22,7.96802611653759e-20
"OSGEP",402.707312293248,-0.563631350772057,0.0966206309142115,-5.83344721969886,5.42937870774972e-09,4.08382353886341e-08
"ABAT",1285.169673543,1.85860401748521,0.228807117299315,8.12301662388355,4.54737005576259e-16,1.50394552874379e-14
"LOC100129637",127.479426187466,-0.761771074382084,0.12170285240986,-6.25927050433183,3.86782465454797e-10,3.68394905411107e-09
"ZNF780A",348.526267211937,0.582169752687585,0.090823674642845,6.40988987702721,1.4562478510809e-10,1.52737772619744e-09
"ZNF780B",300.655186411018,0.694637177116054,0.103487245839546,6.71229745734143,1.91583635373871e-11,2.41322047122131e-10
"ZNF41",327.605429080384,0.506590264954212,0.0794770216477522,6.37404691886236,1.84104226693541e-10,1.88735509031704e-09
"IFT80",523.528405156788,0.351453573930597,0.0886373463060431,3.96507328544239,7.33734008559809e-05,0.000223361257046086
"ZNF414",144.985851525647,-0.296839921687855,0.101557780929807,-2.92286734674737,0.0034682424057104,0.00713654444057621
"IFT88",359.810527061341,0.656310331039546,0.109465237035281,5.99560507805791,2.0272915531951e-09,1.64927309732429e-08
"IL10RA",499.661021312086,-0.500842504311807,0.180234537907138,-2.77883756425117,0.00545537976735248,0.0106763550219537
"SP1",3509.7272691223,0.450361146463223,0.0598229544183421,7.52823311456413,5.14315113570057e-14,1.09192416772946e-12
"MCM10",310.803210062598,-0.957110656333074,0.223908083687807,-4.27456945979478,1.91506996873358e-05,6.59724312966241e-05
"PDIA5",611.545443950989,-0.46843533090573,0.126103166830971,-3.71469918383271,0.000203445566665292,0.00055570740693406
"SP4",237.234520772641,0.428324419964024,0.125061257068575,3.42491695672914,0.000614987366752609,0.00151027587846354
"ATG4B",784.585877188731,-0.363168808905238,0.0777923559006072,-4.66843823793236,3.0349798410928e-06,1.24530672220401e-05
"THUMPD2",212.544536040174,-0.275489304248204,0.0833235159163026,-3.3062611583137,0.000945499186454495,0.00222311962123957
"ATG4D",335.456122187317,-0.334959029539956,0.0985016153692921,-3.40054351681607,0.000672520304615067,0.00163418585372866
"MPHOSPH8",899.322857380174,0.492129817159785,0.0918384159080926,5.35864879956427,8.38466640543252e-08,4.74902598514235e-07
"PNP",1120.74381192942,-0.811823055173863,0.140389199234824,-5.78266034423316,7.3528428006517e-09,5.35317863854968e-08
